ideology,n. 思想体系，意识形态
perpetual,adj. 不间断的，长久的；没完没了的
jealous,adj. 嫉妒的，吃醋的；小心守护的
strip,n. (纸、布料等的) 条；狭长地带 vi.  vt. 脱光衣服，扒光…的衣服 vt. 除去；全部拿走；拆卸；剥夺
stack,n. (整齐的) 一堆；大量；大烟囱 vt.  vi. (使) 放成整齐的一叠 vt. 使成叠地放在
rating,n. 评级，等级；收视率；电影级别
franc,n. 法郎
forthcoming,adj. 即将到来的；现成的
liability,n. (法律上的) 责任；累赘；债务
abortion,n. 人工流产，堕胎
plentiful,adj. 丰富的，充足的
ambiguity,n. 模棱两可，含糊不清的事物
cement,n. 水泥；混凝土；胶接剂 vt. 巩固，加强
setback,n. 挫折，阻碍
dispatch,vt. 派遣；派送；迅速处理；处决 n. 派遣，调遣；急件，快信；电讯
spray,vt.  vi. 喷，喷洒；向…扫射，往…上撒 n. 喷雾；喷雾器；浪花，飞沫
Celsius,adj. 摄氏的 n. 摄氏度
affiliate,vt.  vi. (使) 隶属于，(使) 紧密联系 n. 分支机构，附属组织，分公司
recite,vt.  vi. 朗诵，背诵 vt. (口头) 列举，逐一详述
tablet,n. 平板电脑；药片；丸；牌，匾
territory,n. 领土，领地；(特定) 地区；领域
farewell,n. 告别 int. (道别用语) 再见，再会
n. 医疗保健
complementary,adj. 互补的；相配的
practically,adv. 几乎，差不多；实际上，实践上
avert,vt. 防止，避免；转移目光，背过脸
petition,n. 请愿书；申诉书 vi.  vt. 请愿；(向法庭) 申请；祈祷
proportionate,adj. 成比例的；相称的
limitation,n. 限制，制约；限制规则；局限
genuine,adj. 真正的；真诚的，可信赖的
reign,n. 君主统治时期；任期，当政期 vi. 统治，当政；成为最佳；盛行
judicial,adj. 审判的，司法的，法庭的
obedient,adj. 服从的，顺从的，温驯的
perplex,vt. 迷惑，使困惑，使茫然，使费解
stern,adj. 严厉的，苛刻的；难对付的 n. 船尾
temple,n. 庙宇，寺院；太阳穴
mediate,vt.  vi. 调停，调解，斡旋 vt. 找到解决方法；调节，影响
weave,vt.  vi. 织，编；迂回行进，穿行 vt. 编造 (故事或设计)
mysterious,adj. 神秘的；故弄玄虚的
cozy,adj. 温暖舒适的；亲密的；密切的
grape,n. 葡萄
worship,n. (对神的) 敬奉；崇拜；阁下 vt. 崇拜，景仰 vt.  vi. 敬奉 (神)
pilgrim,n. 朝圣者；清教徒前辈移民
withdraw,vi.  vt. (使) 撤回，撤离；(使) 退出 vt. 收回，撤销；取 (款)；停止供应 vi. 不与人交往
interpreter,n. 口译员；演奏者；表演者
chop,vt. 切碎，砍，劈；(大幅度地) 削减 n. 猪 (或羊等) 排；砍，劈；掌劈
esteem,n. 尊重，敬重 vt. 尊重，敬重
spectrum,n. 光谱；系列，范围；波谱
bid,vi.  vt. 出价；叫牌 vi. 投标；努力争取 vt. 向…表示问候，向…告别；吩咐 n. 出价；投标；争取，尝试；叫牌
constrict,vt.  vi. (使) 收缩 vt. 限制，约束
portrait,n. 肖像，半身画像；详细的描述 adj. (文件页面) 竖式的
intensity,n. 强烈，剧烈；(光、声等的) 强度
companion,n. 同伴；成双的物品之一；陪护
nuisance,n. 讨厌的人，麻烦的事；非法妨害
hydrogen,n. 氢，氢气
constituency,n. 选区；选区选民；支持者
tin,n. 锡；罐头；金属食品盒；烤盘
microbe,n. 微生物
blueprint,n. 蓝图；行动方案；(基因的) 模型
cliff,n. (尤指靠海的) 悬崖，峭壁
checkpoint,n. (边防) 检查站，边防关卡
novelty,n. 新奇；新奇的事物；小玩意 adj. 新颖独特的
watchdog,n. 监察员，监察委员会；看门狗
configuration,n. 布局，构造；配置
elementary,adj. 基本的；初级的；小学的
nasty,adj. 不友善的；糟糕的；严重的 adj. 下流的；危险的
relativity,n. 相对论，相对性
bullet,n. 子弹
vain,adj. 徒劳的；自负的，虚荣的
conspicuous,adj. 易见的，明显的，惹人注意的
shipment,n. 运输，运送；(一批) 运输的货物
enterprise,n. 企业；项目，规划；进取心
miraculous,adj. 奇迹般的，不可思议的
miserable,adj. 痛苦的；令人难受的；不友善的
capsule,n. 胶囊；航天舱；小容器
offset,vt. 抵消，弥补
thirst,n. 口渴；渴求 vi. 渴求
transmit,vt.  vi. 传送，发送 (信号、信息等) vt. 传播 (疾病)；传达 (思想)；传导
n. 常识
evident,adj. 明显的，显然的
halt,vi.  vt. (使) 停止 n. 停止，暂停
hatred,n. 仇恨，憎恶，敌意
conserve,vt. 节约，节省；保护，保存 n. 果酱，蜜饯
commentary,n. 现场报道；评论性文章；讨论
alleged,adj. 声称的，涉嫌的
complement,vt. 补充，补足，使完美 n. 补充物，补足物；足额；补语
sergeant,n. 中士，军士，巡警，警佐
mobilize,vt.  vi. 动员，鼓动 vt. 调动，调用
scatter,vt. 撒，撒播 vi.  vt. (使) 散开，(使) 散布在各处
sober,adj. 没喝醉的；冷静的；色彩素净的 vt.  vi. (使) 冷静，(使) 严肃
lubricate,vt. 给…上润滑油，上油
concede,vt. 承认…属实；(勉强地) 让与 vi.  vt. 承认 (竞赛、选举等的失败)
uneasy,adj. 不安的，不自在的；不稳定的
chalk,n. 粉笔；白垩 vt. 用粉笔标记，写 (或画)
auction,n. 拍卖 vt. 拍卖
panic,n. 恐慌，惊慌失措；恐慌局面 vi.  vt. (使) 惊慌失措
elevator,n. 电梯；谷仓；升降机
maid,n. 女仆，侍女；少女
preliminary,adj. 初步的；预备的；开始的 n. 初步行动，准备工作
vacancy,n. (职位的) 空缺；空房
flour,n. 面粉 vt. 给…裹上面粉，在…上撒以面粉
incline,vi.  vt. (使) 倾向；(使) 倾斜 vt. 点 (头) n. 斜坡，斜面
provocative,adj. 挑衅的，煽动的；挑逗的
mourn,vt.  vi. 哀悼；对…感到遗憾
appraise,vt. 估量，估价；做出评价；打量
whistle,n. 哨子；口哨声，汽笛声；汽笛 vt.  vi. 吹口哨 vi. 吹哨子；鸣叫；嗖嗖地移动
cafeteria,n. 自助餐厅，食堂
whirl,vi.  vt. (使) 旋转，(使) 打转 vi. (思绪) 混乱，恍惚 n. 旋转，回旋；接连不断的活动
inquire,vi.  vt. 询问，打听
dispose,vi. 丢掉；处理 vt. 布置，安排；使倾向于
leather,n. 皮革；皮衣，皮外套
lounge,n. 休息室；躺椅；沙发 vi. 懒洋洋地坐，躺，消磨时间
weep,vi.  vt. 哭泣，流泪 vi. (伤口) 流血，渗出液体 n. 哭泣，流泪
dean,n. 院长，系主任；教长；泰斗
occasional,adj. 偶尔的，有时发生的
diversion,n. 转向，转移；令人分心的事物 n. 消遣，娱乐
loom,vi. 隐约显现，赫然出现；逐渐逼近 n. 织布机
reactor,n. 核反应堆
timid,adj. 胆怯的，羞怯的
funeral,n. 葬礼，丧礼
polar,adj. 极地的；磁极的；完全相反的
eradicate,vt. 消灭，灭绝，根除
mayor,n. 市长，镇长
steak,n. 牛排；肉排；牛肉块；鱼排
fit,vi.  vt. 适合，合身；可容纳；符合 vt. 试穿；安装；使适合 (某工作) adj. 健壮的，健康的；适合的 n. (癫痫等的)发作；一阵；匹配
invest,vi.  vt. 投资；投入 (时间等)；授 (权)
thrive,vi. 兴旺，繁荣，欣欣向荣
expense,n. 费用；开支，开销
capital,n. 首都；资本，资金；大写字母 adj. 死刑的；大写的
conversation,n. 交谈，谈话
exercise,n. 锻炼；练习；习题；运用；操练 n. (为达到特定结果的) 活动 vt. 行使，运用 vi.  vt. 锻炼，训练
pleasant,adj. 令人愉快的；礼貌而友善的
capable,adj. 能做…的；能力强的，能干的
heat,n. 热；热度；炎热天气；供暖 vt.  vi. 加热，(使) 变暖
straight,adv. 笔直地；直接；正，直；坦率地 adj. 直的；连续的；准的；坦率的 n. 直道
atmosphere,n. 气氛；大气层；空气；情调
grant,vt. 批准，准予，给予；承认 n. 拨款，补助金
distinguish,vi.  vt. 区分，辨别，分清 vt. 使有别于；辨别出；使表现突出
resist,vt.  vi. 按捺，克制；抵抗，抵制；抵御 vt. 经得起，抗 (伤害)
unexpected,adj. 出乎意料的，意想不到的
similar,adj. 相像的；类似的
volcano,n. 火山
widespread,adj. 普遍的，广泛的
rarely,adv. 难得地，少见地
extinct,adj. 已灭绝的，消失的；(火山) 死的
disaster,n. 灾难；不幸；失败的人 (或事物)
relevant,adj. 有关的，切题的；有价值的
demonstrate,vt. 表明，证明；示范，演示；展露 vi. 示威，游行
complaint,n. 抱怨，投诉；使人不满的事；疾病
convince,vt. 使确信，使信服；说服，劝服
reputation,n. 名誉，名声
overseas,adv. 在国外，在海外 adj. (在) 国外的，(在) 海外的
destination,n. 目的地，终点 adj. 将要去的，预订了的
various,adj. 各种各样的，不同的
proposal,n. 提议，提案；求婚
remain,vlink. 保持，仍是 vi. 余下；尚待…；留下，逗留
favorable,adj. 赞成的；讨人喜欢的；有利的
certain,adj. 必然的；确信的；某个；一点 pron. 某些
definitely,adv. 肯定地，当然
effective,adj. 有效的；生效的；实际的
presentation,n. 演示，报告，介绍；颁发 n. 呈现方式；演出
responsible,adj. 负责的；应担责的；作为原因的
latter,adj. 后者的；后期的
accident,n. (交通) 事故；意外，偶然
advice,n. 建议，忠告
opportunity,n. 机会，时机
guide,n. 指南；导游；有指导意义的事物 vt. 给…领路；指导，影响
settlement,n. 协议，和解；偿付；定居点
complicated,adj. 复杂的，难懂的
satellite,n. 人造卫星；卫星；卫星国
tutor,n. 家庭教师；助教，导师 vt. 教授，辅导
abroad,adv. 在国外；去国外；广为流传地
reveal,vt. 揭示，揭露；展现，显露
aside,adv. 在旁边；存，留；除…之外 n. 小声说的话；题外话
praise,n. 称赞，赞美；(对上帝的) 称颂 vt. 称赞，赞美；称颂，感谢 (上帝)
sector,n. 部门，行业；军事管制区；扇形
consideration,n. 考虑；须考虑的因素；体谅
tuition,n. 讲授，教学；学费
oppose,vt. 反对，阻挠
appreciate,vt. 欣赏；感激；理解，体会到 vi. 升值，增值
contact,n. 联系；接触；熟人；隐形眼镜 vt. 联系
relief,n. 宽慰；减轻，缓和；救济 (金)
satisfy,vt. 使满意；满足
boundary,n. 分界线，边界
toward,prep. 向；趋于；将近；对于；用于
vessel,n. 舰，轮船；容器，器皿；血管
innovation,n. 创新，革新；新事物，新方法
gather,vi.  vt. 聚集，召集；认为，推测 vt. 搜集，采集；收拢；收割；攒 vi. 逐渐增加，积聚
canal,n. 运河，沟渠；食道，气管
damage,n. 损害，损坏，伤害；损害赔偿金 vt. 损害，伤害
meanwhile,adv. 在此期间；与此同时
lake,n. 湖，湖泊
affair,n. 事务；私事；事情；暧昧关系
construct,vt. 建造，修建；组成，构成；绘制 n. 构想，概念
associate,vt. 联想，联系 vi. 与…为伍，混在一起 n. 同事，(生意) 伙伴 adj. (等级或头衔) 准的，副的
belt,n. 腰带，皮带；传送带；地带 vt. 抽打，狠打
therefore,adv. 所以，因此，因而
session,n. 一场，一节；会议，开庭；学年
accurate,adj. 准确的，精确的
traffic,n. 交通；流量；非法交易 vi. 非法交易
frequent,adj. 经常性的，频繁的 vt. 常到，常去，常出入于
professional,adj. 职业的，专业的 n. 专业人士；职业运动员；内行
architect,n. 建筑师；发起者，创立者
mislead,vt. 误导，将…引入歧途
almost,adv. 几乎，差不多
significant,adj. 重要的；数量大的；意味深长的
statement,n. 声明；说法，陈述；报表
authority,n. 权威；权力；当权者，官方；授权
necessarily,adv. 必然地，不可避免地，必定地
ceremony,n. 仪式，典礼；礼数，客套
fee,n. 费用
obviously,adv. 明显地，显然地
impressive,adj. 使人印象深刻的，令人敬佩的
tape,n. 磁带，录像带；胶带；窄布条 vt. 录音，录像；用胶带粘
climate,n. 气候；气候带；局势，风气
against,prep. 反对，违反；对…不利；倚，撞 prep. 和…比赛；以防；衬托；和…相比
promotion,n. 晋升；促销；促进；晋级
anxious,adj. 焦虑的；让人担忧的；渴望的
acknowledge,vt. 承认，认可；感谢 vt. 告知收到 (信件或信息等)
seal,n. 海豹；章，印记；密封垫；封蜡 vt. 封上 (信封)；密封；确定；封锁
disturb,vt. 打扰，干扰；使烦恼；弄乱
harm,n. 伤害，损害 vt. 伤害，损害
pole,n. 杆子；地极；磁极，电极；极端 vt.  vi. 用篙撑船，摆船
policy,n. 政策；保险单；(处事) 原则
tourist,n. 游客，观光客
bottle,n. 瓶子 vt. 把…装入瓶中
dentist,n. 牙医；牙医诊所
existence,n. 现实存在；生存，生活
strategy,n. 战略，策略；战略学
college,n. 大学；学院，职业学校
quarter,n. 四分之一；一刻钟；季度；群体
spot,n. 地点；斑点；污渍；粉刺；排位 vt. 发现，看见 adj. 现货交易的，立即支付的
sight,n. 视力；看见；视野；景象；名胜 vt. 看见，发现
fellow,adj. 同伴的，同类的 n. 小伙子；同事，伙伴；研究员
kindness,n. 仁慈，善良；友好的举动
prove,vt. 证明，证实；展现 vlink. 证明是，被发现是 vi. 发酵
statistic,n. 统计数字 (或资料)；统计学
excellent,adj. 极好的，优秀的；棒极了
contribute,vt.  vi. 捐赠，捐助；做贡献；撰稿 vi. 促使，是导致…的原因之一
decade,n. 十年
transition,n. 转变，过渡，变革，变迁 vi. 转变，过渡
nearby,adj. 附近的，临近的，近处的 adv. 在附近，在近处
corporation,n. 大公司，大企业
protect,vt.  vi. 保护，防护；为…买保险 vt. 保护，扶持 (本国工业)
accuse,vt. 指责，指控，控告
conscience,n. 良心，良知；内疚
conscious,adj. 意识到的；清醒的；有意的 suff. 注重…的，有…意识的
relative,n. 亲戚，亲属 adj. 相对的；与…相比；关于…的
sophisticated,adj. 精密的，复杂的 adj. 见多识广的；老练的
accommodation,n. 住宿，住处；和解，调解
semester,n. 学期，半学年
initiative,n. 主动性；倡议，新方案；主动权
obtain,vt. 获得，实现 vi. 存在，流行
enhance,vt. 提高，增加，改进，改善
resident,n. 居民，住户；住院实习医生 adj. (在某地) 居住的
embarrass,vt. 使尴尬，使难堪
depression,n. 抑郁症；抑郁，沮丧；萧条期 n. 洼地，坑；低气压
relate,vt.  vi. 联系，(使) 有关联 vt. 叙述，讲述 vi. 涉及，关于；理解，有共鸣
complain,vi.  vt. 抱怨；投诉；发牢骚
critic,n. 评论家，批评家；批评者
fascinate,vt.  vi. 使着迷，迷住
production,n. 生产，制造；产量；产生，分泌 n. (电影等的) 制作
mechanism,n. 机械装置；方法，途径；机制
witness,n. 目击者；(出庭的) 证人；见证人 vt. 目击，目睹；见证；连署
appeal,vi. 吸引；呼吁，恳求；上诉；打动 n. 上诉；吸引力，魅力；呼吁
regulation,n. 规章，制度；调控，管理 adj. 规定的，正规的
beside,prep. 在…旁边；和…相比
criticize,vi.  vt. 批评，指责，批判 vt. 评论，评价
field,n. 田，地；领域；运动场；实地 vi. 担任守队 (队员) vt. 使参加竞选；处理，应付
bond,n. 纽带；债券；保释金；枷锁；键 vt.  vi. (使) 黏合，连结；增强信任
illustrate,vt. 说明，阐明；给…加插图；表明
protection,n. 保护，防卫；保护物；保障
laboratory,n. 实验室，实验楼
audience,n. 观众，听众，读者；正式会见
pot,n. 锅；罐；壶；凑集的资金；大麻 vt. 把…栽入盆中；击 (球) 入袋
environment,n. 生活环境，周围状况；自然环境
rare,adj. 少见的；珍稀的；(肉类) 半熟的
exception,n. 例外；规则的例外，例外的事物
mere,adj. 仅仅，只不过；极小的，单单 n. 小湖，池塘
necessity,n. 必要；必需品；不可避免的情况
cheer,n. 欢呼声；欢乐的气氛 vi.  vt. 欢呼，加油 vt. 鼓励，鼓舞；(使) 振奋起来
possibly,adv. 可能，或许；尽可能
borrow,vi.  vt. 借，借用；引用
scientific,adj. 科学的；细致严谨的
unpleasant,adj. 使人不愉快的；不友善的
approach,vi.  vt. 接近，靠近 vt. 接洽，要求；处理，对付 n. 方法，态度；接近，靠近；路径
business,n. 商业，生意；商务；企业；职责
theory,n. 理论，学说；理论基础；观点
grind,vt. 磨碎，碾碎；绞碎；把…磨锋利 vi.  vt. 摩擦 (发出刺耳声) n. 苦差事，令人疲惫的工作
wild,adj. 野生的；荒凉的；无法无天的 n. 野生状态
reflection,n. 映像；反射；反映；深思
tone,n. 语气；音色；风格；色调 n. 健壮度 vt. 使更健壮，使更结实
marine,adj. 海洋的，海产的；海运的 n. 海军陆战队士兵
schedule,n. 日程表；时刻表；节目表 vt. 为…安排时间
chemistry,n. 化学；化学性质；互相吸引
certainly,adv. 无疑，肯定；当然，行
suffering,n. 痛苦，疼痛；痛苦的经历
immediate,adj. 立即的；当前的；最接近的 adj. 直系的；直接的
majority,n. 大部分，大多数；多数票
silver,n. 银；银器；银色；银币；银牌 adj. 银色的 vt. 给…镀银；使具有银色光泽
shade,n. 阴凉处；灯罩；色度；细微差别 vt. 给…遮挡光线；加灯罩；画阴影
staff,n. 全体职员；(学校) 行政人员 vt. 担当…职员，任职于
colony,n. 殖民地；群体，群落
civilization,n. 文明；文明国家；文明社会
curiosity,n. 好奇心；奇物，珍品
consumption,n. 消耗 (量)；食用 (量)；消费
temporary,adj. 暂时的，临时的
scheme,n. 计划，方案；阴谋，诡计 vi.  vt. 密谋，秘密策划
unlikely,adj. 不太可能的；不可信的 adj. 不合适的
surprising,adj. 令人吃惊的
perceive,vt. 看待，视为；注意到，察觉
favor,n. 帮助，恩惠；赞同，支持；偏爱 vt. 更喜欢；偏袒；有利于
maximum,adj. 最大数量的，最高限度的 n. 最大量，最高程度，最大限度
below,prep. 在…下面；低于，小于 adv. 在…下面；低于；零度以下
during,prep. 在…期间
however,adv. 不管多么；无论如何；然而
chemical,adj. 化学的，与化学有关的 n. 化学品，化学制品
independence,n. (国家的) 独立；(人的) 自立
communicate,vi.  vt. 交流，沟通；表达，传达
society,n. 社会；社团；上流社会；交往
particular,adj. 特定的；格外的；挑剔的 n. 细节，详情
reform,n. 变革，改革，革新 vt. 变革，改革，革新 vi.  vt. (使) 改过自新
exposure,n. 暴露；揭露；接触；曝光
regular,adj. 有规律的；频繁的；通常的 n. 常客，老主顾；含铅汽油
retain,vt. 保持，保留；储存；预聘 (律师)
mass,n. 团，块；大量；群众；质量 adj. 大量的，大批的，广泛的 vi.  vt. 集结，聚集
feed,vt. 喂养；养活；施肥；灌输 vt. 将…塞进机器；满足；供给 vi. (婴儿或动物) 进食 n. (婴儿或动物) 一餐；饲料，肥料
realistic,adj. 现实的；能实现的；逼真的
behind,prep. 在 (向)…后；比不上；支持 adv. 在后面；留在原处；拖欠，拖延
rural,adj. 乡下的，乡村的
examine,vt. 仔细研究；仔细检查；测验
manufacture,vt. 大量制造；编造；生成 (物质) n. 大量制造；商品
essential,adj. 必不可少的；基本的，本质的 n. 必需品；要素，要点
forward,adv. 向前；进展；向将来；提前 adj. 向前的，前进的；未来的 vt. 发送，寄；转寄 n. 前锋
quite,adv. 相当
childhood,n. 童年，儿童时期
dominate,vt.  vi. 主宰，统治，支配 vt. 高耸，耸立
absence,n. 缺席，缺勤；不存在，缺乏
highlight,vt. 强调，突出；用彩笔做标记 n. 最突出 (精彩) 的部分
judgment,n. 看法，评价；判断力；判决
recall,vt.  vi. 记起，回忆起 vt. 召回；收回 (残次品)；使想起 n. 记忆力；召回
improvement,n. 改善，改进，提高
judge,n. 法官；裁判员；鉴定人 vi.  vt. 判断；担任裁判；评价，指责 vt. 估计，猜测；审理，判决
offer,vt.  vi. 主动提出，自愿给予 vt. 提供，供应 n. 提议；出价，报价；特价
admire,vt. 钦佩，仰慕；欣赏，观赏
efficiency,n. 效率，效能
mathematics,n. 数学；数学运算
technique,n. 技巧，工艺；技艺，技能
learned,adj. 博学的；学术性的；后天的
unlike,prep. 与…不同，不像；非…的特征 adj. 不同的，不相似的
professor,n. 教授；讲师
appearance,n. 外观；公开露面；出现；问世
investment,n. 投资；(时间、精力的) 投入
nearly,adv. 几乎，差不多
description,n. 描述，叙述；种类，类型
fry,vt.  vi. 油炸，油煎，油炒 vi. (被阳光) 灼伤，晒伤 n. 炸薯条；鱼苗
boost,vt. 使增长，推动；偷窃 n. 激励；增加；向上一推
labor,n. 劳动；劳动力；分娩；英国工党 vi. 努力做 (困难的事)；干苦力活
satisfied,adj. 满意的；确信的
similarly,adv. 相似地，类似地
attract,vt. 吸引；引起 (注意等)
sustain,vt. 保持，维持；遭受；支撑；认可
discipline,n. 纪律；训练方法；自制力；学科 vt. 处罚；训导，管教；自我控制
nutrient,n. 营养物质，养分
skilled,adj. 有技术的；需要特殊技能的
association,n. 协会，社团；联系，关联；联想
employer,n. 雇主
British,adj. 英国的，英国人的 n. 英国人
profession,n. 职业；业界人士；公开，表明
intellectual,adj. 智力的，脑力的；有才智的 n. 知识分子
absorb,vt. 吸收；理解，掌握；吞并；缓冲 vt. 吸引 (注意力)；承受，承担
imply,vt. 暗示，暗指；意味着，表明
era,n. 时代，年代，时期
landscape,n. 风景，景观；乡村风景画；形势 vt. 美化…的环境
decline,n. 下降，减少；衰退，恶化 vi. 下降，减少；衰退，恶化 vi.  vt. 婉拒，谢绝
well-known,adj. 著名的；为人所熟知的
saying,n. 谚语，格言，警句
truly,adv. 衷心地；真正地；准确地
boom,n. 繁荣，激增；风靡的时期；轰鸣 vi. 轰鸣，轰响；繁荣，迅速发展 vt.  vi. 以低沉有力的声音说话
pollution,n. 污染；污染物
holiday,n. 假期，节日 vi. 度假
plastic,n. 塑料，塑胶；信用卡 adj. 塑料的；可塑的；不自然的
comparison,n. 比较，对比
confidence,n. 信心，信任；自信；把握；秘密
hobby,n. 爱好
transform,vt. 转换，改变，改造
revise,vt. 改变 (想法)；修改，修订 vi.  vt. 复习
literacy,n. 识字，读写能力
indifferent,adj. 不感兴趣的，冷淡的；一般的
psychologist,n. 心理学家
interaction,n. 相互影响；交流，沟通
lively,adj. 有活力的，活泼的，生动的 adj. 充满趣味的
depress,vt. 使沮丧；降低 (价格等)；按下
largely,adv. 在很大程度上，主要地，大半地
raise,vt. 举起；提高；筹募；提及；抚养 vt. 引起；饲养 n. 加薪，工资增长
infer,vt. (根据已有信息) 推断；暗示
proper,adj. 恰当的；像样的；得体的
sculpture,n. 雕刻作品，雕像；雕刻艺术
yard,n. 码；院子，庭院；场地
massive,adj. 大而重的；巨大的，严重的
decide,vt.  vi. 决定；裁定 vt. 使…下定决心
tear,n. 眼泪；破洞，裂口 vt.  vi. 撕裂，扯破 vt. 撕开，扯掉；挣开；拉伤 vi. 狂奔，疾驰
substance,n. 物质；根据；主旨；重要性
procedure,n. 步骤，程序；手术，治疗
recognize,vt. 认出；承认；公认；表彰
entrance,n. 入口；登场；进入权；准许加入 vt. 使狂喜，使入迷
perspective,n. 视角，观点；判断力；透视法
effect,n. 影响，结果；特效，效果；财产 vt. 引起，使发生
delight,n. 高兴，愉快；令人高兴的事 (人) vt. 使高兴，使愉快
ingredient,n. 配料，成分；因素
whether,conj. 是否；不论，不管
native,adj. 出生地的；本地的；与生俱来的 n. 出生于某地的人；本地人；土著
speculative,adj. (信息) 推测性的；(生意) 投机的
refute,vt. 反驳，否认…的正确性
vaccination,n. 接种疫苗
elaborate,adj. 复杂的，详尽的，精心制作的 vi.  vt. 详尽说明，详细阐述
reassure,vt. 使安心，使消除疑虑
sensational,adj. 轰动的；耸人听闻的；极好的
plea,n. 恳求；抗辩；(犯罪的) 借口
naked,adj. 裸体的；无遮盖的；毫不掩饰的
pasture,n. 牧场；(生活或工作的) 条件 vt. 放牧
enlist,vt. 赢得，获得 (支持、帮助等) vi.  vt. 征募，(使) 入伍
evaporate,vi.  vt. (使) 蒸发，(使) 挥发 vi. 逐渐消失
germ,n. 细菌，病菌；起源，萌芽；胚胎
respectively,adv. 分别地，各自地，依次地
sarcasm,n. 讽刺，嘲讽，挖苦
lofty,adj. 高耸的；崇高的；高傲的
gymnastics,n. 体操，体操训练
devise,vt. 想出，发明，设计
temptation,n. 引诱，诱惑，诱惑人的事物
parcel,n. 包裹，邮包；一块地
conform,vi. 遵守；顺应大流；相一致
variation,n. 变化，差异；变体，变种；变奏
anticipate,vt. 预料；期待，期盼；先于…做
flatter,vt. 奉承，讨好；使…显得更好
perfume,n. 香水；芳香，香味 vt. 使香气弥漫；抹香水
attribute,vt. 把…归因于；认为是…所作 n. 特性，属性
central,adj. 中心的；核心的；中央的
council,n. 地方议会；委员会
fact,n. 现实；事实，真相；真实情况
particularly,adv. 特别，尤其
following,adj. (时间上) 接着的；下述的 n. 拥护者，追随者；下述，下列 prep. 在…之后，由于
experiment,n. 实验，试验；尝试，实践 vi. (用…) 做实验；进行试验，试用
within,prep. 在…之内；在…内部，在…里 adv. 在里面，在内部
yet,adv. 还没；马上；还；迄今为止 conj. 但是，然而
capability,n. 能力，才能；军事力量
arrest,vt. 逮捕；阻止；吸引…的注意力 n. 逮捕；(身体部分) 突然停止工作
fascinating,adj. 让人着迷的，极有吸引力的
dreamy,adj. 恍惚的；不切实际的；梦幻的
continual,adj. 不停的，无间断的；频繁的
likewise,adv. 同样地，相似地；我也一样
hip,n. 髋，臀部；野蔷薇果 adj. 新潮的，赶时髦的
identification,n. 确认，识别；身份证明；确定
seaport,n. 海港城市
tolerant,adj. 宽容的，容忍的；能耐…的
blast,n. 爆炸，气浪；强劲的气流；响声 vt.  vi. 炸毁，爆破；发出刺耳的高音 vt. 严厉批评；猛击；向…喷射
fare,n. 车费，票价；乘客；饭菜 vi. 进展，进行
literally,adv. 字面上地；确实地；简直
illuminate,vt. 照亮；照明；照射；阐释；说明
retailer,n. 零售商，零售商店
cloth,n. 布，布料；牧师
span,n. 持续时间；范围；跨度；宽度 vt. 持续，贯穿；包括，涵盖；横跨
opt,vi.  vt. 选择，作出抉择
strap,n. 带子 vt. 用带子系 (或绑)；用绷带包扎
